integrated_code	L2	L1	endangered_aggregated_status	eth_status	cru_docs	cru_words	cru_floss_splchk	cru_watchtower	cru_udhr	in_omniglot	la_primary_texts_online	la_primary_texts_all	la_lang_descr_online	la_lang_descr_all	la_lex_res_online	la_lex_res_all	la_res_in_online	la_res_in_all	la_res_about_online	la_res_about_all	la_oth_res_in_online	la_oth_res_in_all	la_oth_res_about_online	la_oth_res_about_all	mac_input	mac_input_partial	microsoft_pack	win10_input_method	ubuntu_pack	ubuntu_input	office13_if_pack	office13_lp	firefox_lpack	firefox_dict	wals_samples_100	wals_samples_200	indi_blogs	indi_posts	indi_words	indi_users	indi_tweets	wp_articles	wp_total	wp_edits	wp_admins	wp_users	wp_active_users	wp_images	wp_depth	wp_inc	wp_real_articles	wp_adjusted_size	uriel_feats	on_bible_org	in_leipzig_corpora	find_bible_all_versions	treetagger	endangered_langspec	endangered_lex	seed_label
ivv_____________A	0.0	10.4631319115	0	4	10.0	2731.0	0	1	0	0	0.0	1.0	7.0	11.0	2.0	2.0							9.0	15.0	0	0	0	0	0	0	0	0	0	0	0	0														0			193.0	1	0	2.0	0	0	1	-
vut_____________A	0.0	9.95232533462	0	5	192.0	11530.0	0	0	0	0			6.0	6.0	1.0	1.0					1.0	1.0	3.0	12.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	1	0	2.0	0	0	0	-
wpc_____________A	0.0	7.53449552734	6	6.0			0	0	0	0	1.0	1.0	1.0	1.0							1.0	1.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
gdq_____________A	0.0	11.6348554457	4	6.5			0	0	0	0			4.0	4.0							1.0	1.0	7.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														0			56.0	0	0		0	0	0	s
gdr_____________A	0.0	8.16080392095	0	5	287.0	283789.0	0	0	0	0			4.0	4.0	17.0	17.0							5.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	6.0	0	0	0	-
gds_____________A	0.0	3.04452243772	0	8.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gdt_____________A	0.0	0.0	0	10			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
gdu_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gdx_____________A	0.0	14.91412318	0	6.5			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gda_____________A	0.0	6.91869521902	0	6.0			0	0	0	0			2.0	2.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
gdb_____________A	0.0	9.71353696858	5	6.0			0	0	0	1			3.0	3.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	-
gdc_____________A	0.0	0.69314718056	8	9			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gdd_____________A	0.0	8.8466408131	0	5			0	0	0	0	2.0	2.0	4.0	4.0	3.0	3.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	-
gde_____________A	0.0	11.385103457	0	5	1.0	212437.0	0	0	0	0			8.0	9.0	2.0	2.0							5.0	24.0	0	0	0	0	0	0	0	0	0	0	0	0														0			230.0	0	0	2.0	0	0	0	-
gdf_____________A	0.0	10.9313375481	0	6.0			0	0	0	0			3.0	3.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			1.0	0	0		0	0	0	s
gdg_____________A	0.0	8.69968140099	0	5			0	0	0	0	1.0	2.0	2.0	5.0									11.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	1.0	0	0	0	-
gdh_____________A	0.0	1.2527629685	8	8.5			0	0	0	0			2.0	2.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
gdi_____________A	0.0	9.10509096126	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gdj_____________A	0.0	1.8718021769	8	8.5			0	0	0	0	3.0	3.0	1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
gdk_____________A	0.0	7.82444593088	6	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gdl_____________A	8.85380827498	11.0867626291	0	5			0	0	0	0	0.0	1.0	2.0	3.0	1.0	2.0							3.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			13.0	0	0		0	0	0	-
gdm_____________A	0.0	6.41181826771	7	7			0	0	0	0			3.0	3.0									6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			60.0	0	0		0	0	0	s
gdn_____________A	0.0	7.78364059622	0	5	287.0	297347.0	0	0	0	0	4.0	4.0	2.0	2.0	6.0	6.0							1.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	1	0	6.0	0	0	0	-
gdo_____________A	0.0	7.38461038318	6	7			0	0	0	1			2.0	2.0									7.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														0			41.0	0	0		0	0	0	-
fvr_____________A	0.0	13.5222140876	0	5			0	0	0	0			5.0	5.0	1.0	1.0							7.0	8.0	0	0	0	0	0	0	0	0	0	0	0	1														0			239.0	0	0		0	0	0	-
tvy_____________A	0.0	0.0	0	10			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
tvu_____________A	0.0	10.4716665711	0	5			0	0	0	0			2.0	2.0									2.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
tvt_____________A	0.0	10.1266711031	0	6.0			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			48.0	0	0		0	0	0	s
tvw_____________A	0.0	6.80350525761	0	5			0	0	0	0			1.0	1.0									1.0	33.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
tvs_____________A	0.0	9.95232533462	0	5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
tvm_____________A	0.0	6.95749737088	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
tvl_____________A	0.0	9.38357913816	5	3	16.0	29086.0	0	1	0	1	1.0	1.0	3.0	3.0	2.0	3.0					0.0	1.0	4.0	6.0	0	1	0	0	0	0	0	0	0	0	0	0														1	1.0	5131.41632401	61.0	0	0		0	0	1	-
tvo_____________A	9.90353755129	10.1658902778	0	6.0			0	0	0	0	3.0	3.0	3.0	3.0	4.0	5.0							9.0	15.0	0	0	0	0	0	0	0	0	0	0	0	0														0			70.0	0	0		0	0	1	-
tvn_____________A	0.0	12.8992223261	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0		0	0	1	s
tvk_____________A	0.0	8.21635833239	0	5	1.0	4080.0	0	0	0	0			2.0	2.0	1.0	1.0							4.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			29.0	0	0	1.0	0	0	0	-
tve_____________A	0.0	6.39859493454	6	10			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
eze_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
tva_____________A	0.0	7.5812098262	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
eza_____________A	0.0	13.2878795108	0	5			0	0	0	0									1.0	2.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
jgk_____________A	0.0	11.1562648066	0	6.0			0	0	0	0					0.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
jgo_____________A	0.0	11.0509058783	0	5			0	0	0	0			11.0	11.0	2.0	2.0					1.0	1.0	2.0	11.0	0	1	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	-
dds_____________A	0.0	10.7210843863	0	5			0	0	0	0			2.0	2.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			66.0	0	0		0	0	0	s
ddr_____________A	0.0	0.69314718056	9	7			0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
jgb_____________A	0.0	0.0	0	10			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ddw_____________A	0.0	7.14755927119	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
jge_____________A	0.0	11.2872913147	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ddj_____________A	0.0	5.77765232322	7	7			0	0	0	0			3.0	3.0	1.0	1.0							6.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														0			26.0	0	0		0	0	0	-
ddi_____________A	0.0	7.6875387662	0	6.0			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
ddo_____________A	0.0	9.27683011325	6	6.5			0	0	0	1			2.0	2.0	1.0	1.0							6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			62.0	0	0	1.0	0	0	0	-
ddn_____________A	0.0	10.3750836631	0	3	2.0	2085.0	0	0	1	0			2.0	2.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
dda_____________A	0.0	2.3978952728	8	8.5			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
ddg_____________A	0.0	10.5187002183	0	6.0	9.0	1530.0	0	0	0	0	75.0	75.0	1.0	1.0	3.0	3.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														1	6.0	32362.1133039	0.0	0	0		0	0	1	-
dde_____________A	0.0	10.3089859934	0	6.5			0	0	0	0	0.0	1.0	1.0	2.0									2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ddd_____________A	0.0	8.51739317142	0	6.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
acc_____________R	0.0	0.0	0	7	2.0	301186.0	0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
acb_____________A	0.0	5.70711026475	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
aca_____________A	0.0	5.61130162186	7	6.5	1.0	10630.0	0	0	0	0			8.0	9.0	1.0	1.0							9.0	11.0	0	0	0	0	0	0	0	0	0	0	0	0														0			209.0	1	0	2.0	0	0	0	-
acf_____________A	0.0	12.7923331464	0	5	30.0	239545.0	0	0	0	0	0.0	1.0	1.0	3.0	2.0	3.0							11.0	23.0	0	0	0	0	0	0	0	0	0	0	0	0														1	0.0	0.0	0.0	1	0	5.0	0	0	0	-
ace_____________A	0.0	15.068282955	0	5	11.0	611450.0	0	0	1	1	100.0	100.0	5.0	9.0	3.0	4.0							11.0	17.0	0	1	0	0	0	0	0	0	0	0	0	0						3330.0	8927.0	100025.0	1.0	13128.0	19.0	0.0	32.0	0	330.0	2527518.59843	220.0	0	0		0	0	1	-
acd_____________A	0.0	9.24965723435	0	5	1.0	304226.0	0	0	0	0			2.0	3.0	1.0	2.0							2.0	15.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0	2.0	0	0	0	-
ack_____________A	0.0	0.0	0	10			0	0	0	0			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
aci_____________A	0.0	0.0	0	10			0	0	0	0			2.0	2.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			2.0	0	0		0	0	0	-
ach_____________A	0.0	13.99532982	0	5	236.0	148714.0	0	1	0	1	1.0	1.0	5.0	7.0	2.0	2.0							5.0	6.0	0	0	0	0	0	0	0	0	1	0	0	0														1	1.0	3390.96240032	206.0	1	1	3.0	0	0	0	-
acn_____________A	0.0	10.3539578932	7	5	1.0	229697.0	0	0	0	0			2.0	2.0	1.0	1.0							3.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			33.0	1	0	4.0	0	0	1	-
acm_____________A	0.0	16.530205368	0	3			0	0	0	0	3.0	3.0	4.0	4.0							2.0	2.0	7.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														0			58.0	0	0	2.0	0	0	0	-
acl_____________A	0.0	0.0	0	10			0	0	0	0			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
acs_____________A	0.0	0.0	0	10			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
acr_____________A	0.0	11.1227897589	5	5	2.0	264419.0	0	0	0	0	2.0	3.0	3.0	5.0	3.0	3.0							6.0	57.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	1	0	7.0	0	0	0	-
acq_____________A	0.0	15.7725727201	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
acp_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0	0.0	1.0							3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
acw_____________A	0.0	15.6112456141	0	6.0			0	0	0	0			2.0	2.0									4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
acv_____________A	0.0	2.35137525716	8	8.5			0	0	0	0	70.0	96.0	4.0	5.0	0.0	3.0							7.0	11.0	0	0	0	0	0	0	0	0	0	0	0	0														0			206.0	0	0		0	0	0	-
acu_____________A	0.0	8.85765744931	6	5	6.0	271689.0	0	0	1	1	1.0	1.0	5.0	5.0	3.0	5.0							31.0	49.0	0	0	0	0	0	0	0	0	0	0	0	0														0			202.0	1	0	7.0	0	0	0	-
act_____________A	0.0	0.0	0	5	1.0	594.0	0	0	0	0			1.0	1.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
acz_____________A	0.0	10.2649659414	5	5			0	0	0	0			3.0	4.0									1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
acy_____________A	0.0	7.2122944685	6	8.0			0	0	0	1			3.0	3.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			1.0	0	0		0	0	0	-
acx_____________A	0.0	13.9025145183	0	6.0			0	0	0	0	1.0	1.0	3.0	3.0	1.0	1.0							3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0		0	0	0	-
bjg_____________A	0.0	10.3056472036	0	6.0			0	0	0	0			3.0	3.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	-
bjf_____________A	0.0	2.99573227355	8	8.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bje_____________A	0.0	10.6689786502	0	6.0			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
bjd_____________R	0.0	0.69314718056	8	7			0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bjc_____________A	0.0	6.133398043	0	6.0			0	0	0	0			1.0	1.0	2.0	2.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bjb_____________A	0.0	0.405465108108	9	10			0	0	0	0			2.0	2.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bja_____________A	0.0	12.328294703	0	6.0			0	0	0	0			1.0	1.0									1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bjo_____________A	0.0	11.5327378961	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bjn_____________A	0.0	15.0697013638	0	3	40.0	143904.0	0	0	0	0	12.0	12.0	5.0	5.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0						1449.0	10791.0	59716.0	2.0	6742.0	16.0	0.0	230.0	0	497.0	3516411.65723	0.0	0	1		0	0	0	v
bjm_____________A	0.0	9.93907185426	5	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bjl_____________A	0.0	6.81344459951	7	6.0			0	0	0	0			1.0	1.0									2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bjk_____________A	0.0	7.65964295456	0	4			0	0	0	0			1.0	1.0	0.0	6.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
bjj_____________A	0.0	16.0668024618	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bji_____________A	8.02158453346	10.7851454309	5	4			0	0	0	0			4.0	5.0	1.0	2.0							5.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			171.0	0	0		0	0	0	-
bjh_____________A	0.0	6.31173480915	7	5			0	0	0	0	94.0	96.0	6.0	7.0	3.0	3.0							304.0	307.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bjw_____________A	0.0	9.23999625688	0	6.0	1.0	8102.0	0	0	0	0			2.0	3.0	1.0	2.0							23.0	28.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bjv_____________A	0.0	10.4913019948	0	6.0	1.0	245760.0	0	0	0	0			1.0	1.0	1.0	1.0							3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	4.0	0	0	0	-
bju_____________A	0.0	2.19722457734	8	8.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
bjt_____________A	0.0	11.3241954176	0	5			0	0	0	0			3.0	3.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
bjs_____________A	0.0	12.4529366297	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bjr_____________A	0.0	5.88887795833	0	5	288.0	224810.0	0	0	0	0	2.0	2.0	8.0	8.0	3.0	3.0							10.0	19.0	0	0	0	0	0	0	0	0	0	0	0	0														0			171.0	1	0	6.0	0	0	0	-
bjq_____________R	0.0	0.0	0	7			0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bjp_____________A	0.0	6.98564181764	0	6.0	67.0	62199.0	0	0	0	0	1.0	1.0			2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	1.0	0	0	0	-
bjz_____________A	0.0	7.71020519443	0	5			0	0	0	0	2.0	2.0	3.0	3.0	7.0	7.0							2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			170.0	0	0		0	0	0	-
bjy_____________A	0.0	0.405465108108	9	10			0	0	0	0			2.0	2.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			21.0	0	0		0	0	0	-
bjx_____________A	0.0	8.16080392095	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
her_____________A	0.0	11.8306225463	5	5	74.0	127812.0	0	1	0	1	1.0	1.0	3.0	5.0	1.0	1.0							8.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0				1.0	1.0	0.0	175.0	4431.0	0.0	3079.0	0.0	0.0	0.0	1	8.0	52499.2996667	158.0	0	0	2.0	0	0	0	-
hed_____________A	0.0	10.5966597328	0	6.0			0	0	0	0			1.0	1.0									3.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
heg_____________A	0.0	9.33758957289	6	5	1.0	3819.0	0	0	0	0	5.0	5.0	1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	5.0	0	0	0	-
hea_____________A	0.0	14.0386549093	0	5	1.0	2384.0	0	0	1	0			1.0	1.0	1.0	1.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
heb_____________A	0.0	15.4837400721	0	1	125.0	17.0	0	0	0	1	12.0	12.0	12.0	46.0	3.0	24.0					13.0	23.0	23.0	62.0	0	0	0	1	1	1	0	1	1	1	0	0						194536.0	819163.0	20126011.0	42.0	311914.0	2352.0	47586.0	253.0	0	145190.0	1877135235.42	248.0	1	1	19.0	0	0	0	t
hem_____________A	0.0	12.1062578351	0	6.0			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			25.0	0	0		0	0	0	s
heh_____________A	0.0	13.5985987986	0	5	1.0	134662.0	0	0	0	0			2.0	2.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			35.0	0	0	2.0	0	0	0	-
hei_____________A	0.0	4.40671924726	7	7			0	0	0	0			2.0	2.0	0.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			44.0	0	0		0	0	0	s
uig_____________A	0.0	16.1589411012	0	2	707.0	355986.0	0	0	1	1	1.0	1.0	5.0	5.0	3.0	3.0					0.0	1.0	11.0	15.0	0	1	1	1	1	1	1	0	0	0	0	0						2596.0	10213.0	146621.0	1.0	11468.0	17.0	453.0	124.0	0	1690.0	56643321.9441	65.0	0	1	1.0	0	0	1	v
uis_____________A	0.0	7.70481192293	6	5			0	0	0	0	2.0	2.0	2.0	2.0	1.0	1.0							1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
uiv_____________A	0.0	7.38336814699	7	6.0			0	0	0	0			3.0	3.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			171.0	0	0		0	0	0	s
oht_____________A	0.0	0.0	0	7			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
ohu_____________A	0.0	0.0	0	7			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
cpi_____________A	0.0	7.36644514833	6	6.5			0	0	0	0			3.0	3.0									3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
cpn_____________A	0.0	11.6172944893	0	6.0			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
cpo_____________A	0.0	7.60140233458	0	7			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
cuccpa4_________a	0.0	10.1266711031	0	6.0	2.0	242853.0	0	0	0	0	13.0	13.0	3.0	5.0	3.0	4.0							17.0	26.0	0	0	0	0	0	0	0	0	0	0	0	0														0			70.0	1	0	7.0	0	0	0	-
cpccpb5_________a	0.0	8.97094039814	0	5	1.0	118096.0	0	0	0	0			2.0	2.0	1.0	2.0							5.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			170.0	1	0	5.0	0	0	0	-
cpccpc0_________a	0.0	8.29429960886	0	6.5	1.0	113311.0	0	0	0	0			4.0	4.0	1.0	2.0							5.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			170.0	1	0	5.0	0	0	0	-
rxd_____________A	0.0	2.56494935746	8	8.5			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
cpg_____________A	0.0	7.25559127425	7	8.5			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
cpx_____________A	0.0	14.7550493474	0	5			0	0	0	1	1.0	1.0	1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														1	0.0	0.0	0.0	0	0		0	0	0	-
cpccpy4_________a	0.0	9.47278155656	0	6.5			0	0	0	0			1.0	1.0									1.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0	1.0	0	0	0	-
cps_____________A	0.0	13.3676612983	0	6.0	72.0	3904.0	0	0	0	0			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														1	10.0	37552.142642	0.0	0	0		0	0	1	-
cpccpu3_________a	0.0	9.39274525863	0	6.5	3.0	95794.0	0	0	1	0	3.0	4.0	6.0	7.0	3.0	4.0							29.0	47.0	0	0	0	0	0	0	0	0	0	0	0	0														0			170.0	1	0	5.0	0	0	0	-
rxw_____________A	0.0	0.510825623766	9	9			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mnx_____________A	0.0	9.39274525863	0	5	1.0	24484.0	0	0	0	0	6.0	6.0	6.0	8.0	3.0	3.0							8.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			51.0	0	0		0	0	0	-
mny_____________A	0.0	12.0610526538	0	6.0			0	0	0	0			1.0	1.0									1.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
mnz_____________A	0.0	9.90353755129	0	5			0	0	0	0			5.0	5.0	3.0	3.0							3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			29.0	0	0		0	0	0	-
scn_____________A	0.0	15.3630732794	0	5	128.0	793152.0	0	0	0	1			2.0	2.0	3.0	3.0					1.0	1.0	3.0	3.0	0	1	0	0	0	0	0	0	0	0	0	0				2.0	22.0	9225.0	17030.0	135770.0	1.0	6456.0	10.0	303.0	6.0	0	549.0	14052955.2385	33.0	0	1		0	0	0	-
sci_____________A	0.0	10.6902616789	5	5			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			19.0	0	0		0	0	0	s
